id,paper_id,author_id,status,liked_num,tags,content,title,language,created_at,updated_at
1,24861879,1,Submitted,0,carcinogenesis; glioma; miR-124; N-Ras; R-Ras,"1. Downregulation of MiR-124 Expression in Human Gliomas; 2. MiR-124 Overexpression Inhibits Akt and Raf/ERK1/2 Signaling Pathways; 3. R-Ras and N-Ras Have Synergistic Effects to Restore MiR-124 inhibited VEGF Transcriptional Activation; 4. Overexpression of R-Ras Reverses the Inhibitory Effects of MiR-124; 5. Overexpression of MiR-124 Increases Chemosensitivity of Glioma Cells to Temozolomide and Its Apoptotic Induction Effect in the Presence of Temozolomide Through R-Ras and N-Ras; 6. MiR-124 Suppresses Tumor Angiogenesis in Nude Mice; 7. Overexpression of MiR-124 Inhibits Cell Proliferation, Invasion, and Tumor Growth;",MiR-124 governs glioma growth and angiogenesis and enhances chemosensitivity by targeting R-Ras and N-Ras,English,2022-06-09 15:37:00.665792+00:00,2022-06-09 15:37:00.665792+00:00
2,25190548,1,Submitted,0,MiR-454-3p; Glioma; Diagnosis; Prognosis,1. The expression levels of miR-454-3p in plasma were signiﬁcantly higher than that from healthy controls; 2. The expression levels of miR-4543p in the post-operative plasmas were signiﬁcantly downregulated when compared to the pre-operative plasmas; 3. The prognosis of glioma with high miR-454-3p expression was significantly worse compared with that of glioma with low miR-454-3p expression; 4. Plasma miR-454-3p could be a novel potential diagnostic biomarker for glioma;,Plasma miR-454-3p as a potential prognostic indicator in human glioma,English,2022-06-09 15:37:00.665792+00:00,2022-06-09 15:37:00.665792+00:00
3,17233837,1,Submitted,0,NA,"1. Alb protein, peroxiredoxin 4 and SH3 domain-binding glutamic acid-rich-like protein 3 were upregulated in glioblastoma multiform versus non-tumor tissues; 2. Aldolase C fructose-biphosphate, creatine kinase, B chain dihydrolipoyl dehydrogenase, enolase 2, fumarate hydratase, HSP60, lactoylglutathione lyase, lucine aminopeptidase, Mu-crystallin homolog, NADH-UO 24, neurofilament triplet L protein, septin 2, stathmin and vacuolar ATP synthase subunit E were downregulated in glioblastoma multiform compared with non-tumor tissues;",Biomarker discovery: A proteomic approach for  brain cancer profiling,English,2022-06-09 15:37:00.665792+00:00,2022-06-09 15:37:00.665792+00:00
4,30187121,1,Submitted,0,EGFR amplification; Chromosome 7 gain; Chromosome 10 loss; 7+/10; 7+/10q; TERT promoter mutation; Glioblastoma; Astrocytoma; Pleomorphic xanthoastrocytoma,"1. Our results demonstrate that EGFRamp and the 7/10 signature are closely associated with IDHwt GBM; 2. pTERTmut is less specifc for IDHwt GBM; 3. We conclude that, in the absence of endothelial proliferation and/or necrosis, the detection of EGFRamp is a very strong surrogate marker for the diagnosis of GBM in IDHwt diffuse astrocytic tumors; 4. A combination of any two of EGFRamp, the 7/10 signature and pTERTmut, is highly specifc for IDHwt GBM and the combination of all  three alterations is frequent and exclusively seen in IDHwt GBM;","Distribution of EGFR amplification, combined chromosome 7 gain and chromosome 10 loss, and TERT promoter mutation in brain tumors and their potential for the reclassification of IDHwt astrocytoma to glioblastoma",English,2022-06-09 15:37:00.665792+00:00,2022-06-09 15:37:00.665792+00:00
5,29558959,1,Submitted,0,Glioblastoma; Long noncoding RNA; HOTAIR; Biomarker; Cancer,1. HOTAIR expression is higher in serum isolated from GBM patients relative to controls; 2. Serum HOTAIR has good diagnostic value as a GBM biomarker; 3. The levels of HOTAIR are positively correlated in tumors and serum isolated from GBM patients; 4. Sequence of qRT-PCR products amplified from GBM serum maps to human HOTAIR locus;,Serum long noncoding RNA HOTAIR as a novel diagnostic and prognostic biomarker in glioblastoma multiforme,English,2022-06-09 15:37:00.665792+00:00,2022-06-09 15:37:00.665792+00:00
6,29076027,1,Submitted,0,Glioma; Serum; Exosome; Biomaker; miR-301a,1. Serum exosomes from GBM patients promote the proliferation and invasion of H4 cells; 2. Serum exosomal miR-301a serves as a diagnostic biomarker; 3. Serum exosomal miR-301a expression levels are higher in glioma patients than in other brain tumor patients; 4. Exosomal miR-301a levels reflect tumor dynamics in matched GBM serum samples; 5. Serum exosomal miR-301a expression levels are associated with clinicopatholigcal features; 6. ROC and Kaplan-Meier analyses reveal diagnostic and prognostic relevance of tumor-derived miR-301a levels; 7. miR-301a downregulates PTEN expression in glioma cells;,Serum exosomal miR-301a as a potential diagnostic and prognostic biomarker for human glioma,English,2022-06-09 15:37:00.665792+00:00,2022-06-09 15:37:00.665792+00:00
7,22952195,1,Submitted,0,glioblastoma multiforme; interleukin-13 receptor; PET; radioimmunotherapy,"1. Interleukin 13 receptor alpha 2 (IL13Ra2) is an attractive GBM associated biomarker; 2. We designed a novel IL13Ra2-targeted quadruple mutant of IL13 (TQM13) to selectively bind the tumor-restricted IL13Ra2 with high affinity but not significantly interact with the physiologically abundant IL13Ra1/IL4Ra heterodimer that is also expressed in normal brain; 3. TQM13 bound strongly to recombinant IL13Ra2; 4. Radiolabeled TQM13 specifically bound IL13Ra2-expressing GBM cells and specimens but not normal brain; 5. TQM13 did not functionally activate IL13Ra1/IL4Ra in cells or bind to it in SPR binding assays, in contrast to wtIL13; 6. In vivo targeting of systemically delivered radiolabeled TQM13 to IL13Ra2-expressing subcutaneous tumors was demonstrated and confirmed non-invasively for the first time with 124I-TQM13 positron emission tomography imaging; 7. 131I-TQM13 demonstrated in vivo efficacy against subcutaneous IL13Ra2-expressing GBM tumors and in an orthotopic synergeic IL13Ra2- positive murine glioma model, as evidenced by statistically significant survival advantage;",A novel ligand delivery system to non-invasively visualize and therapeutically exploit the IL13Ra2 tumor-restricted biomarker,English,2022-06-09 15:37:00.665792+00:00,2022-06-09 15:37:00.665792+00:00
8,31908895,1,Submitted,0,ATRX; mutation; copy number variation; glioma; biomarkers,1. Comutation of ATRX with IDH1 and TP53 mainly occurs in LGG; 2. ATRX mutation is associated with glioma prognosis; 3. ATRX loss in different grades of glioma; 4. ATRX mutations are associated with multiple molecular events in LGGs;,Omics-based integrated analysis identified ATRX as a biomarker associated with glioma diagnosis and prognosis,English,2022-06-09 15:37:00.665792+00:00,2022-06-09 15:37:00.665792+00:00
9,30196284,1,Submitted,0,TGFBI; Glioma; Proliferation; Migration; PI3K/Akt signaling pathway,"1. High TGFBI expression was found to be associated with poor prognosis in patients with glioblastoma multiforme; 2. Immunohistochemistry showed that TGFBI expression was significantly higher in glioma tissue than in normal human brain tissues; 3. The expression level of TGFBI showed no significant correlation with age, sex, lymph-node metastasis, or pathological grade; 4. sh-TGFBI could inhibit proliferation, invasion and migration and induce apoptosis in U87 and U251 cells in vitro; 5. The phosphorylation levels of AKT and mTOR declined significantly in sh-TGFBI transfected U81 and U251 cells when compared with control;",Enhanced Expression of TGFBI Promotes the Proliferation and Migration of Glioma Cells,English,2022-06-09 15:37:00.665792+00:00,2022-06-09 15:37:00.665792+00:00
10,29099300,1,Submitted,0,glioma; glioblastoma; biomarkers; neutrophil lymphocyte ratio; lymphocyte monocyte ratio; oncology,"1. Compared with healthy controls and patients with acoustic neuroma, meningioma, or nonlesional epilepsy, the patients with glioma had higher values of preoperative NLR and dNLR as well as lower values of LMR and PNI, whereas PLR was higher in glioma patients than in healthy controls and patients with nonlesional epilepsy; 2. Subgroup analysis revealed a positive correlation between NLR, dNLR, PLR, and tumor grade but a negative correlation between LMR, PNI, and tumor grade in glioma; 3. The best diagnostic performance was obtained with the combination of NLR+LMR and dNLR+LMR, with AUCs of 0.777 and 0.778, respectively; 4. For the paired combinations, NLR+LMR demonstrated the highest accuracy;",Diagnostic value of preoperative inflammatory markers in patients with glioma: a multicenter cohort study,English,2022-06-09 15:37:00.665792+00:00,2022-06-09 15:37:00.665792+00:00
